time,speed,alt,satellites
11365260,127.30648,20310,9
11365270,127.01016,20310,9
11365280,126.67680000000001,20310,9
11365290,125.88044000000001,20310,9
11365300,125.95452000000002,20310,9
11365310,125.84340000000002,20310,9
11365320,125.71376,20310,9
11365330,125.91748,20310,9
11365340,126.34344,20310,9
11365350,126.45456000000001,20320,8
11365360,125.91748,20320,8
11365370,125.62116,20320,8
11365380,125.13964,20320,8
11365390,125.13964,20320,8
11365400,124.95444,20330,8
11365410,124.67663999999999,20330,8
11365420,124.60256000000001,20330,8
11365430,124.52848,20330,8
11365440,124.25068000000002,20330,8
11365450,124.19512000000002,20330,8
11365460,123.86176,20330,8
11365470,124.00992,20340,8
11365480,123.56544000000001,20330,8
11365490,123.56544000000001,20340,8
11365500,123.26912000000002,20340,8
11365510,122.80612,20340,8
11365520,123.08391999999999,20350,8
11365530,122.84316,20350,8
11365540,122.86168,20350,8
11365550,122.47276,20350,8
11365560,122.49128,20350,8
11365570,122.39868000000001,20350,8
11365580,122.08384000000001,20350,8
11365590,121.91716000000001,20350,8
11365600,121.82456,20360,8
11365610,121.78752000000001,20360,8
11365620,121.63936000000002,20360,8
11365630,121.25044,20360,8
11365640,121.30600000000001,20360,8
11365650,121.08376,20360,8
11365660,121.13932,20370,8
11365670,120.843,20360,8
11365680,120.71336000000002,20360,8
11365690,120.50963999999999,20360,8
11365700,120.36148,20370,8
11365710,120.17628,20370,8
11365720,120.02812000000002,20370,8
11365730,120.1022,20380,8
11365740,119.78736000000002,20380,8
11365750,119.49104,20380,8
11365760,119.58363999999999,20390,8
11365770,119.45400000000001,20390,8
11365780,119.21324000000001,20390,8
11365790,118.95396000000001,20390,8
11365800,118.89840000000001,20390,8
11365810,118.76876,20400,8
11365820,118.6206,20400,8
11365830,118.2502,20400,8
11365840,118.36132,20410,8
11365850,118.26872,20410,8
11365860,118.06500000000001,20410,8
11365870,117.67608,20410,8
11365880,117.76868000000002,20410,8
11365890,117.47236000000001,20420,8
11365900,117.39828,20420,8
11365910,117.15752,20420,8
11365920,117.15752,20430,8
11365930,116.62044,20430,8
11365940,116.69452,20430,8
11365950,116.56488,20430,8
11365960,116.41672,20440,8
11365970,116.17596,20440,8
11365980,116.21300000000001,20440,8
11365990,115.71296,20440,8
11370000,115.50924,20450,8
11370010,115.50924,20450,8
11370020,115.32404000000001,20460,8
11370030,114.99068000000001,20460,8
11370040,114.97216,20460,8
11370050,114.84252000000001,20470,8
11370060,114.80548,20470,8
11370070,114.43508,20470,8
11370080,114.37952,20480,8
11370090,114.17580000000001,20480,8
11370100,113.87948000000002,20480,8
11370110,113.82392,20490,8
11370120,113.74984,20490,8
11370130,113.5276,20500,8
11370140,113.41648,20500,8
11370150,113.32388,20500,8
11370160,113.26832,20500,8
11370170,112.80532,20500,8
11370180,112.80532,20510,9
11370190,112.58308000000001,20510,9
11370200,112.6016,20510,9
11370210,112.24972000000001,20510,9
11370220,112.3238,20520,8
11370230,112.1386,20520,8
11370240,111.73116,20530,8
11370250,111.82376000000001,20530,9
11370260,111.62004000000002,20530,9
11370270,111.3978,20530,9
11370280,111.24964,20530,9
11370290,111.02740000000001,20540,9
11370300,111.00888,20540,9
11370310,110.93480000000001,20550,9
11370320,110.7496,20550,9
11370330,110.54588,20550,9
11370340,110.39772,20560,8
11370350,110.41624,20560,8
11370360,110.30512000000002,20560,8
11370370,110.00880000000001,20560,8
11370380,110.04584000000001,20560,8
11370390,109.78656000000001,20570,8
11370400,109.39764000000001,20570,8
11370410,109.5458,20570,8
11370420,109.32356,20570,8
11370430,109.19392,20580,8
11370440,109.17540000000001,20580,8
11370450,108.97168,20580,8
11370460,108.86056,20580,8
11370470,108.805,20580,8
11370480,108.60128,20580,8
11370490,108.45312000000001,20590,8
11370500,108.32348,20590,8
11370510,108.17532,20590,8
11370520,108.17532,20590,8
11370530,108.11976000000001,20590,8
11370540,107.71232,20590,8
11370550,107.71232,20600,8
11370560,107.65676,20600,8
11370570,107.3234,20600,8
11370580,107.41600000000001,20600,8
11370590,107.06412,20600,8
11370600,107.02708,20600,8
11370610,106.97152,20610,8
11370620,106.87892000000001,20610,8
11370630,106.52704000000001,20610,9
11370640,106.50852,20610,9
11370650,106.36036,20620,9
11370660,106.21220000000001,20620,9
11370670,105.98996,20620,9
11370680,106.10108000000001,20620,9
11370690,106.06404,20620,9
11370700,105.54548000000001,20630,9
11370710,105.54548000000001,20630,9
11370720,105.47140000000002,20630,9
11370730,105.34176000000001,20630,9
11370740,105.28620000000001,20630,9
11370750,105.13804000000002,20640,9
11370760,104.97136,20640,9
11370770,104.84172000000001,20640,9
11370780,104.74912,20640,9
11370790,104.638,20640,9
11370800,104.52688,20640,9
11370810,104.4528,20640,9
11370820,104.02684,20640,9
11370830,104.0824,20650,9
11370840,104.04536,20650,9
11370850,103.84164000000001,20650,9
11370860,103.67496,20650,9
11370870,103.67496,20650,9
11370880,103.50828,20650,9
11370890,103.50828,20660,9
11370900,103.28604000000001,20660,9
11370910,103.11936,20660,9
11370920,102.91564000000001,20660,9
11370930,102.67488,20660,9
11370940,102.82304,20660,9
11370950,102.54524,20670,9
11370960,102.26744000000001,20670,9
11370970,102.4156,20670,9
11370980,102.24892000000001,20670,9
11370990,102.1378,20670,9
11371000,102.00816,20670,9
11371010,101.84148,20670,9
11371020,101.69332,20670,9
11371030,101.61924,20680,9
11371040,101.56368,20680,9
11371050,101.28588,20680,9
11371060,101.19328,20680,9
11371070,101.06364,20680,9
11371080,100.97104000000002,20680,9
11371090,100.78584000000001,20680,9
11371100,100.76732,20690,9
11371110,100.5636,20690,9
11371120,100.60064,20690,9
11371130,100.34136000000001,20690,9
11371140,100.13764,20690,9
11371150,100.04504000000001,20690,9
11371160,99.93392,20700,9
11371170,99.76724,20700,9
11371180,99.65612000000002,20700,9
11371190,99.545,20700,9
11371200,99.3598,20700,9
11371210,99.48944,20710,9
11371220,99.04496,20710,9
11371230,99.19312000000001,20710,9
11371240,99.02644000000001,20710,9
11371250,98.63752,20710,9
11371260,98.69308000000001,20710,9
11371270,98.65604,20710,9
11371280,98.48936,20710,9
11371290,98.35972000000001,20710,9
11371300,98.23008,20710,9
11371310,98.04488,20710,9
11371320,98.08192000000001,20720,9
11371330,97.71152000000001,20720,9
11371340,97.74856000000001,20720,9
11371350,97.54484000000001,20720,9
11371360,97.45224,20720,9
11371370,97.54484000000001,20730,9
11371380,97.23,20720,9
11371390,97.30408,20730,9
11371400,97.02628,20730,9
11371410,96.97072,20730,9
11371420,96.80404000000001,20730,9
11371430,96.35956,20730,9
11371440,96.61884,20730,9
11371450,96.54476000000001,20730,9
11371460,96.28548,20730,9
11371470,96.28548,20730,9
11371480,96.0262,20740,9
11371490,95.95212000000001,20740,9
11371500,95.76692000000001,20740,9
11371510,95.85952,20740,9
11371520,95.48912000000001,20740,9
11371530,95.43356,20740,9
11371540,95.11872000000001,20740,9
11371550,95.26688,20740,9
11371560,95.32244,20740,9
11371570,95.1928,20750,9
11371580,94.915,20750,9
11371590,94.7298,20750,9
11371600,94.65572,20750,9
11371610,94.43348,20750,9
11371620,94.5446,20750,9
11371630,94.58164000000001,20750,9
11371640,94.00752,20750,9
11371650,94.17420000000001,20750,9
11371660,94.02604000000001,20750,9
11371670,93.91492000000001,20760,9
11371680,93.69268000000001,20760,9
11371690,93.76676,20760,9
11371700,93.6186,20760,9
11371710,93.45192,20760,9
11371720,93.50748000000002,20760,9
11371730,92.98892000000001,20760,9
11371740,93.21116,20760,9
11371750,92.80372,20760,9
11371760,92.63704000000001,20770,9
11371770,92.91484000000001,20770,9
11371780,92.37776000000001,20770,9
11371790,92.5074,20770,9
11371800,92.45184,20770,9
11371810,92.30368000000001,20780,9
11371820,91.89624,20780,9
11371830,92.2296,20780,9
11371840,91.9518,20780,9
11371850,91.87772,20780,9
11371860,91.59992000000001,20780,9
11371870,91.58140000000002,20780,9
11371880,91.4888,20780,9
11371890,91.32212000000001,20790,9
11371900,91.22952,20790,9
11371910,91.15544,20790,9
11371920,91.09988,20790,9
11371930,90.87764,20790,9
11371940,90.80356,20790,9
11371950,90.72948000000001,20800,9
11371960,90.35908,20800,9
11371970,90.59984000000001,20800,9
11371980,90.26648,20800,9
11371990,90.28500000000001,20800,9
11372000,90.28500000000001,20800,9
11372010,90.00720000000001,20800,9
11372020,89.98868000000002,20800,9
11372030,89.58124,20800,9
11372040,89.72940000000001,20810,9
11372050,89.72940000000001,20810,9
11372060,89.5442,20810,9
11372070,89.30344000000001,20810,9
11372080,89.19232,20810,9
11372090,89.24788,20810,9
11372100,89.02564000000001,20820,9
11372110,89.02564000000001,20820,9
11372120,88.97008,20820,9
11372130,88.76636,20820,9
11372140,88.67376000000002,20820,9
11372150,88.67376000000002,20820,9
11372160,88.433,20820,9
11372170,88.37744,20820,9
11372180,88.17372,20820,9
11372190,88.17372,20820,9
11372200,88.15520000000001,20820,9
11372210,87.85888,20820,9
11372220,87.93296,20820,9
11372230,87.84036,20830,9
11372240,87.84036,20830,9
11372250,87.84036,20830,9
11372260,87.45144,20830,9
11372270,87.37736000000001,20830,9
11372280,87.35884,20830,9
11372290,87.17364,20830,9
11372300,87.00695999999999,20830,9
11372310,86.89584,20830,9
11372320,86.78472000000001,20830,9
11372330,86.87732,20830,9
11372340,86.82176000000001,20830,9
11372350,86.52544,20830,9
11372360,86.54396,20830,9
11372370,86.45136000000001,20830,9
11372380,86.35876,20830,9
11372390,86.41432,20830,9
11372400,86.3032,20830,9
11372410,86.08096,20830,9
11372420,85.98836,20830,9
11372430,85.84020000000001,20830,9
11372440,85.61796,20830,9
11372450,85.91428,20830,9
11372460,85.63648,20830,9
11372470,85.50684000000001,20830,9
11372480,85.45128000000001,20820,9
11372490,85.45128000000001,20830,9
11372500,85.2846,20830,9
11372510,85.34016,20830,9
11372520,85.13644000000001,20820,9
11372530,84.98828,20820,9
11372540,84.96976000000001,20820,9
11372550,85.0068,20820,9
11372560,84.74752,20820,9
11372570,84.93272,20820,9
11372580,84.98828,20820,9
11372590,84.50676000000001,20820,9
11372600,84.43268,20820,9
11372610,84.43268,20820,9
11372620,84.32156,20820,9
11372630,84.34008,20820,9
11372640,84.24748000000001,20810,9
11372650,84.11784,20810,9
11372660,83.9882,20810,9
11372670,83.95116,20810,9
11372680,83.803,20810,9
11372690,83.76595999999999,20810,9
11372700,83.82152,20810,9
11372710,83.803,20810,9
11372720,83.41408,20810,9
11372730,83.67336,20810,9
11372740,83.39556,20810,9
11372750,83.28444,20810,9
11372760,83.08072,20800,9
11372770,83.22888,20800,9
11372780,83.0622,20800,9
11372790,82.89552,20800,9
11372800,82.95108,20800,9
11372810,82.80292,20800,9
11372820,82.6918,20800,9
11372830,82.7844,20800,9
11372840,82.50659999999999,20800,9
11372850,82.58068000000002,20800,9
11372860,82.39548,20790,9
11372870,82.35844,20790,9
11372880,82.30288,20790,9
11372890,82.1362,20790,9
11372900,82.21028000000001,20790,9
11372910,82.08064,20790,9
11372920,81.93248000000001,20780,9
11372930,81.78432,20780,9
11372940,82.00656000000001,20780,9
11372950,81.54356,20780,9
11372960,81.65468000000001,20780,9
11372970,81.56208000000001,20780,9
11372980,81.46948,20780,9
11372990,81.41392,20770,9
11373000,81.22872000000001,20770,9
11373010,81.00648000000001,20770,9
11373020,80.78424,20770,9
11373030,80.59904000000002,20770,9
11373040,80.45088,20770,9
11373050,80.24716,20760,9
11373060,80.35828000000001,20760,9
11373070,80.35828000000001,20760,9
11373080,80.1916,20760,9
11373090,80.04344,20760,9
11373100,80.39532,20760,9
11373110,79.98788,20760,9
11373120,80.11752,20760,9
11373130,80.32124,20760,9
11373140,80.08048000000001,20760,9
11373150,80.26568,20760,9
11373160,80.32124,20760,9
